Date,Open,High,Low,Close*,Adj Close**,Volume
1999-04-01,1286.37,1371.56,1282.56,1335.18,1335.18,18523200000.00
1999-03-01,1238.33,1323.82,1216.03,1286.37,1286.37,18002500000.00
1999-02-01,1279.64,1283.84,1211.89,1238.33,1238.33,14555860000.00
1999-01-01,1229.23,1280.37,1205.46,1279.64,1279.64,16213500000.00
1998-12-01,1163.63,1244.93,1136.89,1229.23,1229.23,15181450000.00
1998-11-01,1098.67,1192.97,1098.67,1163.63,1163.63,13451280000.00
1998-09-30,1017.01,1103.78,923.32,1098.67,1098.67,18001650000.00
1998-08-31,957.28,1066.11,939.98,1017.01,1017.01,16714080000.00
1998-07-31,1120.67,1121.79,957.28,957.28,957.28,15071550000.00
1998-06-30,1133.84,1190.58,1114.30,1120.67,1120.67,14194800000.00
1998-05-31,1090.82,1145.15,1074.67,1133.84,1133.84,13551970000.00
1998-04-30,1111.75,1130.52,1074.39,1090.82,1090.82,11477140000.00
1998-04-01,1101.75,1132.98,1076.70,1111.75,1111.75,13656060000.00
1998-03-01,1049.34,1113.07,1030.87,1101.75,1101.75,13719590000.00
1998-02-01,980.28,1051.66,980.28,1049.34,1049.34,11656550000.00
1998-01-01,970.43,992.65,912.83,980.28,980.28,12733830000.00
1997-12-01,955.40,986.25,924.92,970.43,970.43,11958880000.00
1997-11-01,914.62,964.55,900.61,955.40,955.40,10173620000.00
1997-09-30,947.28,983.12,855.27,914.62,914.62,14017260000.00
1997-08-31,899.47,960.59,899.47,947.28,947.28,11383000000.00
1997-07-31,954.29,964.17,893.34,899.47,899.47,10606100000.00
1997-06-30,885.14,957.73,884.54,954.31,954.31,11958120000.00
1997-05-31,848.28,902.09,838.82,885.14,885.14,10857950000.00
1997-04-30,801.34,851.87,793.21,848.28,848.28,10106650000.00
1997-04-01,757.12,804.13,733.54,801.34,801.34,10454880000.00
1997-03-01,790.82,814.90,756.13,757.12,757.12,10120760000.00
1997-02-01,786.16,817.68,773.43,790.82,790.82,9715930000.00
1997-01-01,740.74,794.67,729.55,786.16,786.16,11635830000.00
1996-12-01,757.02,761.75,716.69,740.74,740.74,9089170000.00
1996-11-01,705.27,762.12,701.30,757.02,757.02,8763850000.00
1996-09-30,687.31,714.10,684.44,705.27,705.27,9703670000.00
1996-08-31,651.99,690.88,643.97,687.33,687.33,8064070000.00
1996-07-31,639.95,670.68,639.49,651.99,651.99,7380320000.00
1996-06-30,670.63,675.88,605.88,639.95,639.95,8849860000.00
1996-05-31,669.12,680.32,658.75,670.63,670.63,7930840000.00
1996-04-30,654.17,681.10,630.07,669.12,669.12,8921140000.00
1996-04-01,645.50,656.68,624.14,654.17,654.17,8875580000.00
1996-03-01,640.43,656.97,627.63,645.50,645.50,8984200000.00
1996-02-01,636.02,664.23,633.71,640.43,640.43,8749960000.00
1996-01-01,615.93,636.18,597.29,636.02,636.02,9188050000.00
1995-12-01,605.37,622.88,605.05,615.93,615.93,7697540000.00
1995-11-01,581.50,608.69,581.04,605.37,605.37,7602150000.00
1995-09-30,584.41,590.66,571.55,581.50,581.50,8043320000.00
1995-08-31,561.88,587.61,561.01,584.41,584.41,7052830000.00
1995-07-31,562.06,565.62,553.04,561.88,561.88,7146620000.00
1995-06-30,544.75,565.40,542.51,562.06,562.06,7307960000.00
1995-05-31,533.40,551.07,526.00,544.75,544.75,7555650000.00
1995-04-30,514.76,533.41,513.03,533.40,533.40,7555690000.00
1995-04-01,500.70,515.29,500.20,514.71,514.71,6307030000.00
1995-03-01,487.39,508.15,479.70,500.71,500.71,7792400000.00
1995-02-01,470.42,489.19,469.29,487.39,487.39,6330100000.00
1995-01-01,459.21,471.36,457.20,470.42,470.42,6852060000.00
1994-12-01,453.55,462.73,442.88,459.27,459.27,6351530000.00
1994-11-01,472.26,472.26,444.18,453.69,453.69,6251240000.00
1994-09-30,462.69,474.74,449.27,472.35,472.35,6344700000.00
1994-08-31,475.49,475.49,458.47,462.71,462.71,6152870000.00
1994-07-31,458.28,477.59,456.08,475.49,475.49,6398750000.00
1994-06-30,444.27,459.33,443.58,458.26,458.26,4980100000.00
1994-05-31,456.50,463.23,439.83,444.27,444.27,5852670000.00
1994-04-30,450.91,457.77,440.78,456.50,456.50,5675970000.00
1994-04-01,445.66,452.79,435.86,450.91,450.91,5735010000.00
1994-03-01,467.19,471.09,436.16,445.77,445.77,7225010000.00
1994-02-01,481.60,482.23,464.26,467.14,467.14,5853100000.00
1994-01-01,466.51,482.85,464.36,481.61,481.61,6627390000.00
1993-12-01,461.93,471.29,461.45,466.45,466.45,5791210000.00
1993-11-01,467.83,469.11,454.36,461.79,461.79,5876610000.00
1993-09-30,458.93,471.10,456.40,467.83,467.83,5940460000.00
1993-08-31,463.55,463.80,449.64,458.93,458.93,5552720000.00
1993-07-31,448.13,463.56,446.94,463.56,463.56,5506200000.00
1993-06-30,450.54,451.15,441.40,448.13,448.13,5308530000.00
1993-05-31,450.23,455.63,442.50,450.53,450.53,5544400000.00
1993-04-30,440.19,454.55,436.86,450.19,450.19,5108640000.00
1993-04-01,451.67,452.63,432.30,440.19,440.19,5853170000.00
1993-03-01,443.38,456.76,441.07,451.67,451.67,5766950000.00
1993-02-01,438.78,450.04,428.25,443.38,443.38,5442450000.00
1993-01-01,435.70,442.66,426.88,438.78,438.78,5280850000.00
1992-12-01,431.35,442.65,428.61,435.71,435.71,4876150000.00
1992-11-01,418.66,431.93,415.58,431.35,431.35,4148770000.00
