Index,Date,Open,High,Low,Close,Adj Close,Volume
147,3/1/13,3143.54,3270.3,3129.4,3267.52,3267.52,33749180000
148,3/31/13,3268.63,3328.79,3154.96,3328.79,3328.79,36904330000
149,4/30/13,3325.35,3532.04,3296.5,3455.91,3455.91,39144080000
150,5/31/13,3460.76,3488.31,3294.95,3403.25,3403.25,37528250000
151,6/30/13,3430.48,3649.35,3415.23,3626.37,3626.37,35889520000
152,7/31/13,3654.18,3694.19,3573.57,3589.87,3589.87,32934650000
153,8/31/13,3622.64,3798.76,3593.62,3771.48,3771.48,34997740000
154,9/30/13,3774.18,3966.71,3650.03,3919.71,3919.71,43017190000
155,10/31/13,3932.45,4069.7,3855.07,4059.89,4059.89,35818470000
156,12/1/13,4065.66,4177.73,3979.59,4176.59,4176.59,37139280000
157,1/1/14,4160.03,4246.55,4044.76,4103.88,4103.88,45227610000
158,2/1/14,4105.06,4342.59,3968.19,4308.12,4308.12,39978180000
159,3/1/14,4261.42,4371.71,4131.81,4198.99,4198.99,46796180000
160,3/31/14,4219.87,4286.09,3946.03,4114.56,4114.56,44391220000
161,4/30/14,4121.25,4252.08,4021.05,4242.62,4242.62,39290130000
162,5/31/14,4247.96,4417.46,4207.61,4408.18,4408.18,40249370000
163,6/30/14,4424.71,4485.93,4351.04,4369.77,4369.77,39536410000
164,7/31/14,4363.39,4580.27,4321.89,4580.27,4580.27,33417300000
165,8/31/14,4592.42,4610.57,4464.44,4493.39,4493.39,39631130000
166,9/30/14,4486.65,4641.51,4116.6,4630.74,4630.74,50136190000
167,10/31/14,4633.71,4810.86,4594.92,4791.63,4791.63,32967990000
168,12/1/14,4777.73,4814.95,4547.31,4736.05,4736.05,39587090000
169,1/1/15,4760.24,4777.01,4563.11,4635.24,4635.24,38719030000
170,2/1/15,4650.6,4989.25,4580.46,4963.53,4963.53,35773090000
171,3/1/15,4973.43,5042.14,4825.93,4900.88,4900.88,41204240000
172,3/31/15,4894.36,5119.83,4844.39,4941.42,4941.42,37409760000
173,4/30/15,4966.32,5111.54,4888.17,5070.03,5070.03,35994540000
174,5/31/15,5094.94,5164.36,4956.23,4986.87,4986.87,41338820000
175,6/30/15,5029.05,5231.94,4901.51,5128.28,5128.28,40633420000
176,7/31/15,5134.34,5175.26,4292.14,4776.51,4776.51,43408300000
177,8/31/15,4673.61,4960.87,4487.06,4620.16,4620.16,41503920000
178,9/30/15,4624.46,5095.69,4552.34,5053.75,5053.75,42348240000
179,10/31/15,5065.64,5163.47,4908.66,5108.67,5108.67,36834860000
180,12/1/15,5129.64,5176.77,4871.59,5007.41,5007.41,40617940000
181,1/1/16,4897.65,4926.73,4313.39,4613.95,4613.95,44877130000
182,2/1/16,4587.59,4636.93,4209.76,4557.95,4557.95,43108650000
183,3/1/16,4596.01,4899.14,4581.75,4869.85,4869.85,40738880000
184,3/31/16,4842.55,4969.32,4740.84,4775.36,4775.36,38014300000
185,4/30/16,4786.55,4951.45,4678.38,4948.05,4948.05,38803240000
186,5/31/16,4928.97,4980.14,4574.25,4842.67,4842.67,44213900000
187,6/30/16,4837.18,5175.81,4786.01,5162.13,5162.13,36050040000
188,7/31/16,5167.42,5275.74,5109.8,5213.22,5213.22,38754780000
189,8/31/16,5218.28,5342.88,5097.8,5312,5312,40112010000
190,9/30/16,5300.29,5340.52,5169.76,5189.14,5189.14,34708450000
191,10/31/16,5199.77,5403.86,5034.41,5323.68,5323.68,41950260000
192,12/1/16,5323.88,5512.37,5238.21,5383.12,5383.12,38648510000
193,1/1/17,5425.62,5669.61,5397.99,5614.79,5614.79,36115440000
194,2/1/17,5654.51,5867.89,5616.4,5825.44,5825.44,36811150000
195,3/1/17,5874.86,5928.06,5769.39,5911.74,5911.74,44064880000
196,3/31/17,5917.32,6074.04,5805.15,6047.61,6047.61,33894020000
197,4/30/17,6067.56,6221.99,5996.81,6198.52,6198.52,42405030000
198,5/31/17,6215.91,6341.7,6087.81,6140.42,6140.42,50292320000
199,6/30/17,6173.29,6460.84,6081.96,6348.12,6348.12,36228200000
200,7/31/17,6372.16,6435.27,6177.19,6428.66,6428.66,41368170000
201,8/31/17,6442.17,6497.98,6334.59,6495.96,6495.96,38354650000
202,9/30/17,6506.08,6737.75,6484.14,6727.67,6727.67,41620780000
203,10/31/17,6758.64,6914.19,6667.31,6873.97,6873.97,42080670000
