Date,Open,High,Low,Close,Adj Close,Volume
2012-09-01,1.565,1.892,1.548,1.637,1.637,0
2012-10-01,1.62,1.852,1.611,1.686,1.686,0
2012-11-01,1.715,1.779,1.556,1.606,1.606,0
2012-12-01,1.644,1.847,1.564,1.756,1.756,0
2013-01-01,1.842,2.037,1.803,1.985,1.985,0
2013-02-01,2.01,2.054,1.843,1.888,1.888,0
2013-03-01,1.85,2.086,1.833,1.852,1.852,0
2013-04-01,1.885,1.888,1.638,1.675,1.675,0
2013-05-01,1.658,2.211,1.614,2.164,2.164,0
2013-06-01,2.168,2.657,1.999,2.478,2.478,0
2013-07-01,2.521,2.725,2.451,2.593,2.593,0
2013-08-01,2.601,2.92,2.552,2.749,2.749,0
2013-09-01,2.837,2.984,2.599,2.615,2.615,0
2013-10-01,2.646,2.757,2.471,2.542,2.542,0
2013-11-01,2.589,2.839,2.572,2.741,2.741,0
2013-12-01,2.781,3.036,2.759,3.026,3.026,0
2014-01-01,3.028,3.034,2.646,2.668,2.668,0
2014-02-01,2.677,2.781,2.579,2.658,2.658,0
2014-03-01,2.612,2.821,2.596,2.723,2.723,0
2014-04-01,2.743,2.808,2.596,2.648,2.648,0
2014-05-01,2.66,2.7,2.402,2.457,2.457,0
2014-06-01,2.5,2.659,2.487,2.516,2.516,0
2014-07-01,2.55,2.692,2.448,2.556,2.556,0
2014-08-01,2.582,2.591,2.3,2.343,2.343,0
2014-09-01,2.393,2.642,2.382,2.508,2.508,0
2014-10-01,2.475,2.484,1.868,2.335,2.335,0
2014-11-01,2.325,2.407,2.194,2.194,2.194,0
2014-12-01,2.157,2.331,2.045,2.17,2.17,0
2015-01-01,2.197,2.213,1.651,1.675,1.675,0
2015-02-01,1.674,2.152,1.654,2.002,2.002,0
2015-03-01,2.014,2.259,1.852,1.934,1.934,0
2015-04-01,1.892,2.11,1.843,2.046,2.046,0
2015-05-01,2.067,2.335,2.058,2.095,2.095,0
2015-06-01,2.125,2.489,2.106,2.335,2.335,0
2015-07-01,2.418,2.47,2.187,2.205,2.205,0
2015-08-01,2.194,2.293,1.905,2.2,2.2,0
2015-09-01,2.165,2.303,2.047,2.06,2.06,0
2015-10-01,2.039,2.182,1.906,2.151,2.151,0
2015-11-01,2.175,2.377,2.167,2.218,2.218,0
2015-12-01,2.229,2.356,2.132,2.269,2.269,0
2016-01-01,2.23,2.261,1.911,1.931,1.931,0
2016-02-01,1.93,1.966,1.567,1.74,1.74,0
2016-03-01,1.749,2.002,1.728,1.786,1.786,0
2016-04-01,1.778,1.941,1.685,1.819,1.819,0
2016-05-01,1.816,1.89,1.705,1.834,1.834,0
2016-06-01,1.83,1.849,1.45,1.488,1.488,0
2016-07-01,1.429,1.628,1.336,1.458,1.458,0
2016-08-01,1.494,1.635,1.475,1.568,1.568,0
2016-09-01,1.594,1.752,1.519,1.608,1.608,0
2016-10-01,1.6,1.879,1.596,1.834,1.834,0
2016-11-01,1.847,2.417,1.771,2.368,2.368,0
2016-12-01,2.414,2.621,2.346,2.446,2.446,0
2017-01-01,2.511,2.555,2.309,2.451,2.451,0
2017-02-01,2.487,2.524,2.314,2.358,2.358,0
2017-03-01,2.435,2.615,2.348,2.396,2.396,0
2017-04-01,2.38,2.391,2.177,2.282,2.282,0
2017-05-01,2.291,2.423,2.191,2.196,2.196,0
2017-06-01,2.229,2.305,2.103,2.302,2.302,0
2017-07-01,2.309,2.396,2.225,2.292,2.292,0
2017-08-01,2.305,2.321,2.091,2.121,2.121,0
2017-09-01,2.127,2.344,2.034,2.326,2.326,0
2017-10-01,2.341,2.475,2.273,2.376,2.376,0
2017-11-01,2.398,2.437,2.304,2.417,2.417,0
2017-12-01,2.383,2.499,2.314,2.405,2.405,0
2018-01-01,2.433,2.754,2.425,2.72,2.72,0
2018-02-01,2.743,2.943,2.722,2.868,2.868,0
2018-03-01,2.831,2.936,2.739,2.741,2.741,0
2018-04-01,2.763,3.035,2.717,2.936,2.936,0
2018-05-01,2.966,3.115,2.759,2.822,2.822,0
2018-06-01,2.9,3.009,2.824,2.849,2.849,0
2018-07-01,2.829,2.99,2.811,2.964,2.964,0
2018-08-01,2.992,3.016,2.808,2.853,2.853,0
2018-09-01,2.869,3.11,2.868,3.056,3.056,0
2018-10-01,3.086,3.248,3.046,3.159,3.159,0
2018-11-01,3.164,3.239,3.008,3.013,3.013,0
2018-12-01,3.041,3.041,2.679,2.686,2.686,0
2019-01-01,2.652,2.799,2.554,2.635,2.635,0
2019-02-01,2.631,2.734,2.625,2.711,2.711,0
2019-03-01,2.737,2.759,2.356,2.414,2.414,0
2019-04-01,2.442,2.614,2.424,2.509,2.509,0
2019-05-01,2.504,2.576,2.137,2.142,2.142,0
2019-06-01,2.112,2.174,1.975,2,2,0
2019-07-01,2.026,2.148,1.943,2.021,2.021,0
2019-08-01,2.028,2.028,1.446,1.506,1.506,0
2019-09-01,1.483,1.903,1.429,1.675,1.675,0
2019-10-01,1.727,1.86,1.51,1.691,1.691,0
2019-11-01,1.677,1.971,1.67,1.776,1.776,0
2019-12-01,1.833,1.949,1.693,1.919,1.919,0
2020-01-01,1.903,1.903,1.512,1.52,1.52,0
2020-02-01,1.555,1.668,1.127,1.127,1.127,0
2020-03-01,1.067,1.266,0.398,0.698,0.698,0
2020-04-01,0.61,0.784,0.543,0.622,0.622,0
2020-05-01,0.613,0.745,0.59,0.648,0.648,0
2020-06-01,0.667,0.957,0.619,0.653,0.653,0
2020-07-01,0.681,0.724,0.528,0.536,0.536,0
2020-08-01,0.559,0.746,0.504,0.693,0.693,0
2020-09-01,0.72,0.729,0.606,0.677,0.677,0
2020-10-01,0.701,0.872,0.653,0.86,0.86,0
2020-11-01,0.854,0.975,0.748,0.844,0.844,0
2020-12-01,0.857,0.986,0.857,0.917,0.917,0
2021-01-01,0.935,1.187,0.907,1.093,1.093,0
2021-02-01,1.079,1.614,1.06,1.46,1.46,0
2021-03-01,1.451,1.765,1.403,1.746,1.746,0
2021-04-01,1.705,1.745,1.529,1.631,1.631,0
2021-05-01,1.651,1.7,1.471,1.581,1.581,0
2021-06-01,1.625,1.639,1.438,1.443,1.443,0
2021-07-01,1.471,1.485,1.128,1.239,1.239,0
2021-08-01,1.231,1.379,1.129,1.304,1.304,0
2021-09-01,1.311,1.567,1.26,1.529,1.529,0
2021-10-01,1.496,1.691,1.463,1.557,1.557,0
2021-11-01,1.587,1.693,1.412,1.443,1.443,0
2021-12-01,1.482,1.558,1.343,1.512,1.512,0
2022-01-01,1.534,1.874,1.533,1.782,1.782,0
2022-02-01,1.75,2.065,1.743,1.839,1.839,0
2022-03-01,1.734,2.503,1.682,2.327,2.327,0
2022-04-01,2.404,2.954,2.357,2.887,2.887,0
2022-05-01,2.922,3.167,2.708,2.844,2.844,0
2022-06-01,2.871,3.483,2.833,2.972,2.972,0
2022-07-01,2.932,3.101,2.618,2.642,2.642,0
2022-08-01,2.658,3.151,2.525,3.133,3.133,0
2022-09-01,3.217,3.992,3.176,3.804,3.804,0
2022-10-01,3.712,4.333,3.564,4.077,4.077,0
2022-11-01,3.937,4.223,3.668,3.703,3.703,0
2022-12-01,3.594,3.905,3.402,3.879,3.879,0
2023-01-01,3.758,3.81,3.373,3.529,3.529,0
2023-02-01,3.475,3.962,3.334,3.955,3.955,0
